loss,auc_1,val_loss,val_auc_1,lr
0.4706273265609913,0.83180493,0.5527101238786956,0.7826983,1e-05
0.46409810532653833,0.83651096,0.5437861476844047,0.8081116,1e-05
0.45999861630513245,0.8394993,0.5228639389132406,0.79868376,1e-05
0.4565114005764238,0.8421202,0.5170689792860121,0.8028835,1e-05
0.4538016026920006,0.84429365,0.5088494486642845,0.8144217,1e-05
0.45221867217752476,0.84521073,0.5299419769437321,0.8181521,1e-05
0.449928406105481,0.84699184,0.5048117367994218,0.8208161,1e-05
0.44886771513758217,0.84762424,0.5060169539608799,0.8110501,1e-05
0.4467574774172503,0.849367,0.5043072044412732,0.8170418,1e-05
0.4453486476445076,0.8505089,0.5417046201971424,0.81403023,1e-05
0.4439135253124195,0.85147506,0.5039342256474407,0.81168634,1e-05
0.44239370420600577,0.8527364,0.5135657861555889,0.814119,1e-05
0.44036308691083614,0.8541652,0.5633965872582936,0.8059117,1e-05
0.4394300782049728,0.85479075,0.5086214586055322,0.8089959,1e-05
0.43778286125421,0.8562111,0.5022416842944456,0.8180439,1e-05
0.43642312387116683,0.8571543,0.5100369854069455,0.8213125,1e-05
0.435758298939247,0.8577191,0.4973096727451562,0.81154144,1e-05
0.4330598607830116,0.8596909,0.49275381803075907,0.82121587,1e-05
0.43304932629065057,0.859857,0.5136229893663428,0.8212439,1e-05
0.4311245621355299,0.8611981,0.5290944881928272,0.8189085,1e-05
0.43010424478290665,0.8620691,0.5051771691648952,0.8133925,1e-05
0.42851847846227226,0.8630497,0.516922150557731,0.8050949,1e-05
0.42689879805074904,0.86431426,0.49650524398346085,0.818846,1e-05
0.4259403105975069,0.8651078,0.5081335027794261,0.8163563,1e-05
0.4210372609035238,0.86873055,0.5077450927142259,0.81505316,2e-06
0.4191654269665051,0.8697716,0.512474890484478,0.81145567,2e-06
0.4186715312961601,0.87025774,0.5086965937535841,0.81430084,2e-06
0.4180581906791781,0.8708257,0.508151399892765,0.8142394,2e-06
