loss,auc,val_loss,val_auc,lr
0.6980857462999297,0.6144252,0.6185137945062974,0.77339447,1e-05
0.5596890135654589,0.76458883,0.5653172122205005,0.80046976,1e-05
0.5132369693459534,0.7968192,0.4784349128603935,0.8317025,1e-04
0.4717885789929367,0.8252622,0.4578167809283032,0.83942986,1e-04
0.46041115308680186,0.83325624,0.47044745438239155,0.8394748,1e-04
0.4615365768351206,0.83221895,0.4818204715847969,0.83979577,0.00019466666
0.4588929286090339,0.83483684,0.4529379371772794,0.841316,0.00028933334
0.4551403455327197,0.83741367,0.47666775369468856,0.8412964,0.000384
0.44370742630667803,0.8459728,0.4462178367025712,0.8477281,0.0002691
0.4350370589552856,0.85187006,0.43826830452855897,0.8523157,0.00018867
0.4264174055326276,0.85767496,0.44056810460546436,0.85169905,0.000132369
0.4207302561329632,0.8607306,0.45232227554216103,0.8530946,9.29583e-05
0.4142026413213916,0.86519843,0.4356634638765279,0.8543584,6.537081e-05
0.40931918695205594,0.86835515,0.43698345672558336,0.85438484,4.6059566e-05
0.40614124833083737,0.86997944,0.44059228809440837,0.8530426,3.25417e-05
0.4027731017513973,0.8722394,0.43505211875719185,0.85439086,2.3079188e-05
0.4001679942229899,0.8738813,0.441371436285622,0.8535964,1.6455431e-05
0.3985891730320163,0.87445974,0.44778869016205564,0.8532225,1.1818802e-05
0.3978616449600313,0.87530077,0.4469625125913059,0.85314083,8.573162e-06
0.3966576757809011,0.8755712,0.4482762502396808,0.8530953,6.301213e-06
0.39527935158915634,0.8766107,0.44543173514744816,0.8530105,4.710849e-06
0.3951982611853902,0.8765133,0.44671499992118163,0.85300386,3.5975943e-06
0.39498470296220084,0.876477,0.4482678492717883,0.8529222,2.818316e-06
0.39446523939690936,0.87689614,0.44742951673619885,0.8528367,2.2728213e-06
0.39428802490234377,0.87723464,0.44821398924378786,0.8528506,1.8909749e-06
0.3941218253461326,0.8770592,0.44837552769219174,0.8527245,1.6236824e-06
